Longitude,Latitude,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Speed_limit,Year,Cluster,Day_of_year,Hour
-0.185496,51.483253,5,12,3,308,30,2012,1,19,7
-0.160418,51.501567,5,1,3,3216,30,2012,2,12,14
-0.197303,51.508884,4,12,3,402,30,2012,3,4,8
-0.173448,51.481986,7,12,3,3220,30,2012,4,7,23
-0.209678,51.516717,7,12,4,450,30,2012,13,35,10
-0.195132,51.494552,6,12,3,4,30,2012,5,41,20
-0.155861,51.489535,3,12,3,3216,30,2012,28,38,19
-0.195423,51.494467,7,12,3,4,30,2012,5,35,22
-0.163518,51.499727,5,12,3,4,30,2012,9,47,12
-0.197159,51.508882,3,12,3,4206,30,2012,3,52,11
-0.205856,51.496605,6,12,3,315,30,2012,6,55,17
-0.149982,51.485305,3,12,3,3216,30,2012,7,52,9
-0.206003,51.496518,4,12,3,315,30,2012,6,60,19
-0.173445,51.482076,7,12,3,3212,30,2012,4,70,21
-0.173445,51.482076,6,12,3,3212,30,2012,4,69,12
-0.173445,51.482076,1,12,3,3212,30,2012,4,71,20
-0.160559,51.501659,2,1,3,4,30,2012,2,72,11
-0.150108,51.485757,5,12,3,3216,30,2012,7,75,7
-0.163518,51.499727,7,12,3,4,30,2012,9,77,8
-0.181811,51.481757,6,12,3,3220,30,2012,8,83,1
-0.209811,51.516989,7,12,4,450,30,2012,13,84,17
-0.209822,51.516719,7,12,4,450,30,2012,13,77,15
-0.182876,51.494813,5,12,5,0,30,2012,15,89,16
-0.205856,51.496605,3,12,3,315,30,2012,6,94,13
-0.181674,51.481575,4,12,3,3217,30,2012,8,88,7
-0.155861,51.489535,2,12,3,3216,30,2012,28,100,22
-0.1855,51.483163,6,12,3,3220,30,2012,1,90,22
-0.181671,51.481665,6,12,3,3220,30,2012,8,90,15
-0.197451,51.508796,6,12,3,402,30,2012,3,97,1
-0.205715,51.496513,3,12,3,3220,30,2012,6,101,17
-0.163374,51.499724,6,12,3,4,30,2012,9,90,16
-0.150111,51.485667,4,12,3,3216,30,2012,7,116,9
-0.185496,51.483253,5,12,3,308,30,2012,1,117,5
-0.201543,51.521988,6,1,5,0,30,2012,10,118,6
-0.173445,51.482076,1,12,3,3212,30,2012,4,120,1
-0.185773,51.483527,5,12,3,3220,30,2012,1,131,16
-0.155861,51.489535,2,12,3,3216,30,2012,28,128,17
-0.201322,51.498334,5,12,3,315,30,2012,11,159,18
-0.163518,51.499727,7,12,3,4,30,2012,9,168,20
-0.149824,51.485663,3,12,3,3212,30,2012,7,178,8
-0.167349,51.48324,5,12,3,3031,30,2012,12,173,11
-0.16763,51.483424,2,12,3,3212,30,2012,12,184,11
-0.205859,51.496515,1,12,3,3220,30,2012,6,197,10
-0.195564,51.494559,3,12,3,3220,30,2012,5,199,6
-0.155861,51.489535,6,12,3,3216,30,2012,28,202,16
-0.167342,51.48342,6,12,3,3212,30,2012,12,188,9
-0.155861,51.489535,4,12,3,3214,30,2012,28,193,19
-0.201827,51.522083,2,12,5,0,30,2012,10,191,17
-0.173589,51.482079,3,12,3,3220,30,2012,4,213,8
-0.18153,51.481572,2,12,3,3217,30,2012,8,226,15
-0.149964,51.485755,1,12,3,3212,30,2012,7,225,20
-0.149964,51.485755,4,12,3,3212,30,2012,7,214,12
-0.205856,51.496605,5,12,3,315,30,2012,6,208,20
-0.20953,51.516805,6,12,5,0,30,2012,13,237,10
-0.209674,51.516807,3,12,4,450,30,2012,13,220,13
-0.173592,51.481989,4,12,3,3220,30,2012,4,235,7
-0.167342,51.48342,6,12,3,3031,30,2012,12,251,12
-0.14982,51.485753,3,12,3,3212,30,2012,7,262,15
-0.173445,51.482076,7,12,3,3212,30,2012,4,210,4
-0.173308,51.481894,3,12,3,3220,30,2012,4,262,14
-0.185349,51.48334,3,12,3,308,30,2012,1,262,19
-0.195567,51.494469,7,12,3,4,30,2012,5,266,18
-0.160559,51.501659,4,1,3,4,30,2012,2,263,18
-0.201325,51.498244,3,12,3,315,30,2012,11,290,8
-0.150108,51.485757,5,12,3,3212,30,2012,7,292,6
-0.173448,51.481986,4,12,3,3212,30,2012,4,305,14
-0.195564,51.494559,5,12,3,3220,30,2012,5,292,11
-0.197149,51.509151,1,12,3,4206,30,2012,3,316,11
-0.201034,51.49833,4,12,3,315,30,2012,11,319,12
-0.209674,51.516807,6,12,4,450,30,2012,13,321,9
-0.183013,51.494995,2,12,3,4,30,2012,15,310,14
-0.173301,51.482074,7,12,3,3212,30,2012,4,301,19
-0.16763,51.483424,7,12,3,3212,30,2012,12,329,3
-0.173733,51.482081,1,12,3,3220,30,2012,4,330,18
-0.18153,51.481572,7,12,3,3217,30,2012,8,329,3
-0.192368,51.509797,1,12,3,402,30,2012,14,351,14
-0.156156,51.48936,4,12,4,302,30,2012,28,284,8
-0.182729,51.4949,7,12,3,4,30,2012,15,357,2
-0.182876,51.494813,6,12,5,0,30,2012,15,363,23
-0.201325,51.498244,2,12,3,315,30,2012,11,345,11
-0.191936,51.50979,4,12,3,402,30,2012,14,347,17
-0.173592,51.481989,7,12,3,3220,30,2012,4,350,11
-0.197159,51.508882,6,12,3,402,30,2012,3,251,19
-0.078531,51.509516,1,5,3,3211,30,2012,302,57,16
-0.071663,51.515159,7,5,3,11,30,2012,16,84,4
-0.078534,51.509426,3,5,3,3211,30,2012,302,199,9
-0.073789,51.509168,2,5,3,100,30,2012,17,296,7
-0.073941,51.508991,3,5,3,100,30,2012,17,297,16
-0.150108,51.485757,6,12,3,3216,30,2012,7,20,17
-0.130856,51.505685,5,1,6,0,30,2012,18,26,21
-0.14214,51.515217,5,1,3,4201,30,2012,19,26,11
-0.189638,51.535024,6,2,3,5,30,2012,41,27,14
-0.147862,51.523401,1,1,3,501,30,2012,20,29,1
-0.135953,51.497313,2,1,3,302,30,2012,48,30,20
-0.201539,51.522078,5,1,3,4207,30,2012,10,12,21
-0.15728,51.522201,3,1,3,501,30,2012,38,3,22
-0.134284,51.509967,4,1,3,401,30,2012,42,4,20
-0.135514,51.497486,7,1,3,302,30,2012,48,7,19
-0.130566,51.516292,5,2,3,40,30,2012,21,5,19
-0.149943,51.500503,3,1,3,302,30,2012,22,31,9
-0.129247,51.513304,6,1,3,400,30,2012,23,27,18
-0.115384,51.510474,6,1,3,3211,30,2012,24,27,9
-0.125247,51.494895,2,1,3,3212,30,2012,25,30,6
-0.127189,51.507246,5,1,4,308,30,2012,26,33,8
-0.144094,51.523881,3,1,3,501,30,2012,27,38,13
-0.156005,51.489537,6,12,3,3214,30,2012,28,34,18
-0.16963,51.519786,6,1,3,5,30,2012,49,13,16
-0.136272,51.503613,5,1,5,0,30,2012,29,40,9
-0.160706,51.501571,5,1,3,4,30,2012,2,40,22
-0.150842,51.503215,1,1,3,4202,30,2012,30,43,10
-0.141852,51.515213,6,1,3,40,30,2012,19,41,13
-0.151904,51.501882,3,1,3,4,30,2012,31,38,8
-0.151274,51.503221,7,1,3,4,30,2012,30,42,1
-0.15176,51.50188,5,1,3,302,30,2012,31,33,8
-0.12733,51.507338,4,1,3,4,30,2012,26,46,7
-0.165712,51.516847,6,1,3,5,30,2012,32,48,22
-0.1273,51.508057,3,1,3,4,30,2012,26,52,22
-0.159466,51.521605,2,1,3,501,30,2012,50,23,16
-0.159891,51.521792,4,1,3,501,30,2012,50,53,8
-0.151554,51.514107,4,1,3,40,30,2012,33,53,8
-0.189357,51.53484,3,2,3,5,30,2012,41,38,17
-0.130856,51.505685,6,1,6,0,30,2012,18,55,0
-0.148009,51.523313,5,1,3,4201,30,2012,20,54,17
-0.127334,51.507248,2,1,4,308,30,2012,26,58,10
-0.147862,51.523401,6,1,3,501,30,2012,20,48,11
-0.12733,51.507338,3,1,3,4,30,2012,26,59,20
-0.125542,51.494719,5,1,3,3212,30,2012,25,61,19
-0.129547,51.488398,3,1,3,202,30,2012,34,52,7
-0.136276,51.503523,6,1,5,0,30,2012,29,55,19
-0.156332,51.513553,4,1,3,40,30,2012,35,60,11
-0.140867,51.507553,4,1,3,4,30,2012,36,67,3
-0.181397,51.528332,4,1,3,5,30,2012,37,60,8
-0.148006,51.523403,4,1,3,501,30,2012,20,67,16
-0.136128,51.503611,5,1,5,0,30,2012,29,61,7
-0.129259,51.488394,2,1,3,202,30,2012,34,72,18
-0.128479,51.510953,3,1,3,400,30,2012,464,73,12
-0.157864,51.52203,2,1,3,41,30,2012,38,72,14
-0.201454,51.524235,3,1,3,404,30,2012,39,73,20
-0.15303,51.523932,3,1,6,0,30,2012,40,73,16
-0.126159,51.500754,3,1,3,3212,30,2012,52,73,17
-0.152041,51.502064,3,1,3,4,30,2012,31,80,7
-0.144231,51.524063,3,1,3,501,30,2012,27,80,17
-0.13414,51.509964,7,1,3,4,30,2012,42,77,0
-0.131,51.505688,5,1,5,0,30,2012,18,75,13
-0.152037,51.502154,3,1,3,4,30,2012,31,80,6
-0.152886,51.52393,6,1,6,0,30,2012,40,69,17
-0.165716,51.516757,7,1,3,5,30,2012,32,84,2
-0.189497,51.534932,3,2,3,5,30,2012,41,87,19
-0.134284,51.509967,7,1,3,4201,30,2012,42,91,20
-0.149943,51.500503,1,1,3,302,30,2012,22,92,18
-0.129539,51.488578,5,1,3,3212,30,2012,34,96,18
-0.141708,51.51521,1,1,3,40,30,2012,19,106,16
-0.128475,51.511043,6,1,3,400,30,2012,464,104,18
-0.140575,51.507638,7,1,3,4,30,2012,36,105,0
-0.191788,51.509878,6,12,3,402,30,2012,14,104,12
-0.189638,51.535024,5,2,3,5,30,2012,41,103,19
-0.149943,51.500503,5,1,3,302,30,2012,22,103,15
-0.125106,51.494802,5,1,3,3212,30,2012,25,110,17
-0.135,51.510068,5,1,3,4201,30,2012,42,103,18
-0.148146,51.523495,5,1,3,501,30,2012,20,117,15
-0.134572,51.509971,6,1,3,401,30,2012,42,118,14
-0.16556,51.520622,2,1,3,501,30,2012,43,121,8
-0.144238,51.523883,5,1,3,4201,30,2012,27,117,8
-0.151126,51.503309,4,1,3,4202,30,2012,30,123,18
-0.159371,51.513241,3,1,3,40,30,2012,296,122,19
-0.201536,51.522168,4,1,3,4207,30,2012,10,116,9
-0.124283,51.500814,6,1,3,302,30,2012,44,125,12
-0.125239,51.495074,5,1,3,3212,30,2012,25,131,18
-0.165712,51.516847,5,1,3,5,30,2012,32,131,19
-0.165856,51.516849,3,1,3,5,30,2012,32,136,16
-0.14214,51.515217,4,1,3,40,30,2012,19,137,9
-0.13071,51.516294,4,2,3,40,30,2012,21,137,10
-0.152041,51.502064,7,1,3,4,30,2012,31,140,10
-0.201743,51.52424,3,1,3,404,30,2012,39,136,16
-0.124283,51.500814,4,1,3,302,30,2012,44,109,10
-0.148002,51.523493,3,1,3,501,30,2012,20,143,7
-0.201454,51.524235,2,1,4,414,30,2012,39,142,13
-0.15617,51.514,6,1,3,41,30,2012,35,139,19
-0.140575,51.507638,4,1,3,4,30,2012,36,144,16
-0.144171,51.51489,3,1,3,40,30,2012,45,143,18
-0.149799,51.5005,4,1,3,302,30,2012,22,144,6
-0.151421,51.503134,1,1,3,4,30,2012,30,148,12
-0.170487,51.519979,2,1,3,404,30,2012,49,149,14
-0.15141,51.514105,2,1,3,40,30,2012,33,142,13
-0.126144,51.501114,1,1,3,3212,30,2012,52,148,11
-0.149795,51.50059,4,1,3,302,30,2012,22,151,18
-0.127164,51.507875,7,1,3,4,30,2012,26,147,1
-0.174244,51.534156,6,1,3,41,30,2012,46,160,9
-0.129247,51.513304,4,1,3,400,30,2012,23,158,13
-0.149799,51.5005,5,1,3,302,30,2012,22,159,7
-0.163728,51.516007,2,1,5,0,30,2012,53,156,23
-0.159758,51.52152,4,1,3,41,30,2012,50,165,4
-0.156044,51.513548,4,1,3,41,30,2012,35,165,10
-0.122762,51.506276,4,1,3,3211,30,2012,47,165,19
-0.12747,51.50743,5,1,3,4,30,2012,26,159,20
-0.13411,51.510683,1,1,6,0,30,2012,448,155,1
-0.130562,51.516382,7,2,3,40,30,2012,21,168,9
-0.152333,51.501979,7,1,4,310,30,2012,31,168,16
-0.134398,51.510688,4,1,6,0,30,2012,448,137,2
-0.134284,51.509967,3,1,3,4,30,2012,42,164,0
-0.152041,51.502064,7,1,3,4,30,2012,31,175,7
-0.135661,51.497399,5,1,3,302,30,2012,48,159,18
-0.129254,51.513124,7,1,3,401,30,2012,23,175,22
-0.127633,51.506983,4,1,3,4,30,2012,26,179,12
-0.17021,51.519705,2,1,3,404,30,2012,49,177,20
-0.201543,51.521988,2,1,3,4207,30,2012,10,177,18
-0.122618,51.506273,6,1,3,3211,30,2012,47,181,17
-0.125405,51.494537,5,1,3,3212,30,2012,25,173,11
-0.170062,51.519793,2,1,3,5,30,2012,49,184,6
-0.15303,51.523932,1,1,6,0,30,2012,40,169,17
-0.15604,51.513638,5,1,3,40,30,2012,35,180,13
-0.174241,51.534246,2,1,3,41,30,2012,46,184,18
-0.157572,51.522115,3,1,3,501,40,2012,38,185,6
-0.159755,51.52161,5,1,3,501,30,2012,50,159,17
-0.125542,51.494719,7,1,3,3212,30,2012,25,189,13
-0.150838,51.503304,5,1,3,4202,30,2012,30,180,11
-0.129535,51.488668,6,1,3,3212,30,2012,34,188,18
-0.14258,51.515044,5,1,3,40,30,2012,19,187,16
-0.128974,51.488299,5,1,3,202,30,2012,34,180,12
-0.142178,51.507214,4,1,5,0,30,2012,51,186,12
-0.157435,51.521933,5,1,3,501,30,2012,38,194,8
-0.140579,51.507549,6,1,3,4,30,2012,36,195,8
-0.170347,51.519887,4,1,3,404,40,2012,49,193,19
-0.159466,51.521605,5,1,3,501,30,2012,50,180,8
-0.129395,51.488576,4,1,3,3212,30,2012,34,200,2
-0.128468,51.511223,2,1,3,400,30,2012,464,198,17
-0.147865,51.523311,5,1,3,501,50,2012,20,201,8
-0.134856,51.510066,3,1,3,4201,30,2012,42,199,8
-0.127478,51.50725,6,1,3,3212,30,2012,26,202,0
-0.142284,51.515219,1,1,3,40,30,2012,19,204,2
-0.130278,51.516288,2,2,3,40,30,2012,21,205,15
-0.126148,51.501024,3,1,3,3212,30,2012,52,206,7
-0.125106,51.494802,3,1,3,3212,30,2012,25,192,20
-0.127636,51.506893,2,1,3,3212,30,2012,26,198,19
-0.151616,51.501878,1,1,3,4,30,2012,31,204,1
-0.128464,51.511313,7,1,3,400,30,2012,464,203,19
-0.12747,51.50743,2,1,3,4,30,2012,26,212,11
-0.122618,51.506273,4,1,3,3211,30,2012,47,214,10
-0.142181,51.507124,2,1,5,0,30,2012,51,212,14
-0.141996,51.515215,6,1,3,40,30,2012,19,216,3
-0.201606,51.524058,2,1,3,404,30,2012,39,191,10
-0.129402,51.513036,5,1,3,400,30,2012,23,187,11
-0.144168,51.514979,5,1,3,40,30,2012,45,222,23
-0.142144,51.515127,5,1,3,4201,30,2012,19,229,15
-0.151845,51.514022,5,1,3,40,30,2012,33,229,9
-0.124571,51.500819,4,1,3,302,30,2012,44,228,6
-0.15303,51.523932,7,1,6,0,30,2012,40,231,12
-0.16963,51.519786,6,1,3,404,50,2012,49,223,16
-0.133962,51.510771,7,1,3,401,30,2012,448,231,17
-0.124568,51.500909,4,1,3,302,30,2012,44,221,10
-0.151554,51.514107,6,1,3,40,30,2012,33,237,19
-0.144459,51.514894,2,1,3,40,30,2012,45,226,20
-0.149511,51.500496,5,1,3,302,30,2012,22,236,17
-0.14189,51.50721,7,1,3,4,30,2012,51,238,14
-0.158504,51.513317,3,1,3,40,30,2012,296,241,7
-0.124424,51.500906,2,1,3,302,30,2012,44,240,16
-0.150842,51.503215,5,1,3,4202,30,2012,30,236,19
-0.133818,51.510769,7,1,3,401,30,2012,448,245,2
-0.150838,51.503304,3,1,3,4202,30,2012,30,248,11
-0.150833,51.514096,3,1,3,40,30,2012,33,248,11
-0.127636,51.506893,3,1,3,3212,30,2012,26,248,17
-0.189638,51.535024,4,2,4,414,30,2012,41,249,23
-0.129243,51.513393,5,1,3,400,30,2012,23,250,2
-0.165701,51.520714,6,1,3,501,30,2012,43,251,7
-0.165557,51.520712,6,1,3,501,30,2012,43,251,23
-0.148002,51.523493,7,1,3,501,50,2012,20,252,14
-0.170066,51.519703,3,1,3,404,70,2012,49,255,13
-0.127773,51.507075,6,1,3,3212,30,2012,26,244,14
-0.159611,51.521608,5,1,3,501,30,2012,50,257,17
-0.156184,51.51364,1,1,3,41,30,2012,35,253,19
-0.128468,51.511223,2,1,3,400,30,2012,464,198,20
-0.148002,51.523493,5,1,3,501,50,2012,20,257,10
-0.164311,51.515836,3,1,3,5,30,2012,53,262,10
-0.144319,51.514802,2,1,3,40,30,2012,45,247,17
-0.165712,51.516847,1,1,3,5,30,2012,32,260,15
-0.136265,51.503793,4,1,5,0,30,2012,29,263,9
-0.16402,51.515921,2,1,5,0,30,2012,53,261,21
